tx_station_id,tx_component_id,rx_station_id,rx_component_id,frequency,real,imag,err_real,err_imag
TX1,E1,R01,Ex,0.5,1.80e-7,-2.60e-8,4.0e-9,3.8e-9
TX1,E1,R01,Ex,4,1.10e-7,-7.40e-8,6.0e-9,5.7e-9
TX1,E1,R02,Ex,0.5,9.50e-8,-1.50e-8,2.4e-9,2.3e-9
TX1,E1,R02,Ex,4,5.60e-8,-3.90e-8,3.1e-9,3.0e-9
TX1,E1,R03,Ex,0.5,5.40e-8,-9.00e-9,1.6e-9,1.5e-9
TX1,E1,R03,Ex,4,3.00e-8,-2.20e-8,2.0e-9,1.9e-9
TX1,E1,R03,Ey,0.5,1.20e-8,-2.10e-9,6.0e-10,5.7e-10
TX1,E1,R03,Ey,4,6.80e-9,-4.90e-9,7.5e-10,7.2e-10
TX1,E1,R03,Bz,0.5,4.60e-12,-8.00e-13,1.4e-13,1.3e-13
TX1,E1,R03,Bz,4,2.50e-12,-1.90e-12,1.8e-13,1.7e-13
TX1,E1,R04,Ex,0.5,3.30e-8,-5.60e-9,1.1e-9,1.0e-9
TX1,E1,R04,Ex,4,1.80e-8,-1.30e-8,1.4e-9,1.3e-9
TX1,E1,R05,Ex,0.5,2.10e-8,-3.70e-9,8.0e-10,7.6e-10
TX1,E1,R05,Ex,4,1.10e-8,-8.20e-9,1.0e-9,9.6e-10
TX2,E1,R11,Ey,0.5,2.60e-7,-3.80e-8,5.5e-9,5.2e-9
TX2,E1,R11,Ey,4,1.60e-7,-1.10e-7,8.0e-9,7.6e-9
TX2,E1,R03,Ey,0.5,6.10e-8,-1.00e-8,1.8e-9,1.7e-9
TX2,E1,R03,Ey,4,3.40e-8,-2.50e-8,2.2e-9,2.1e-9
TX2,E1,R03,Ex,0.5,1.40e-8,-2.40e-9,6.5e-10,6.2e-10
TX2,E1,R03,Ex,4,7.70e-9,-5.60e-9,8.0e-10,7.6e-10
TX2,E1,R03,Bz,0.5,5.10e-12,-8.80e-13,1.5e-13,1.4e-13
TX2,E1,R03,Bz,4,2.80e-12,-2.10e-12,1.9e-13,1.8e-13
TX2,E1,R12,Ey,0.5,2.40e-8,-4.20e-9,9.0e-10,8.6e-10
TX2,E1,R12,Ey,4,1.30e-8,-9.50e-9,1.1e-9,1.0e-9
TX2,E1,R12,Bz,0.5,1.90e-12,-3.40e-13,8.0e-14,7.6e-14
TX2,E1,R12,Bz,4,1.00e-12,-7.70e-13,1.0e-13,9.6e-14
TX2,E1,R13,Ey,0.5,1.20e-8,-2.10e-9,6.0e-10,5.7e-10
TX2,E1,R13,Ey,4,6.40e-9,-4.70e-9,7.5e-10,7.2e-10
