rx_station_id,rx_component_id,vertex_index,easting,northing,elev
R01,Ex,0,551950.00,3626000.00,1450.00
R01,Ex,1,552050.00,3626000.00,1451.00
R02,Ex,0,552200.00,3626000.00,1447.00
R02,Ex,1,552300.00,3626000.00,1446.00
R03,Ex,0,552450.00,3626000.00,1444.00
R03,Ex,1,552550.00,3626000.00,1443.00
R03,Ey,0,552500.00,3625950.00,1444.00
R03,Ey,1,552500.00,3626050.00,1443.50
R03,Bz,0,552500.00,3626000.00,1443.50
R04,Ex,0,552700.00,3626000.00,1441.00
R04,Ex,1,552800.00,3626000.00,1440.00
R05,Ex,0,552950.00,3626000.00,1438.00
R05,Ex,1,553050.00,3626000.00,1437.00
R11,Ey,0,552500.00,3625450.00,1447.00
R11,Ey,1,552500.00,3625550.00,1446.50
R12,Ey,0,552500.00,3626450.00,1441.00
R12,Ey,1,552500.00,3626550.00,1440.00
R12,Bz,0,552500.00,3626500.00,1440.50
R13,Ey,0,552500.00,3626950.00,1437.00
R13,Ey,1,552500.00,3627050.00,1436.00
